cod,mes,area
84,FCA,Ciencias Biologicas e Profissao da saude
91,FCA,"Ciencias Exatas,Tecnologicas e da Terra"
92,FCA,Ciencias Humanas
49,FCM,Ciencias Biologicas e Profissao da saude
58,FCM,Ciencias Biologicas e Profissao da saude
35,FCM,Ciencias Biologicas e Profissao da saude
42,FCM,Ciencias Biologicas e Profissao da saude
74,FCM,Ciencias Biologicas e Profissao da saude
50,FCM,Ciencias Biologicas e Profissao da saude
51,FCM,Ciencias Biologicas e Profissao da saude
44,FCM,Ciencias Biologicas e Profissao da saude
90,FCM,Ciencias Biologicas e Profissao da saude
48,FCM,Ciencias Biologicas e Profissao da saude
20,FE,Ciencias Humanas
86,FE,Ciencias Humanas
47,FEA,"Ciencias Exatas,Tecnologicas e da Terra"
56,FEA,"Ciencias Exatas,Tecnologicas e da Terra"
57,FEA,"Ciencias Exatas,Tecnologicas e da Terra"
55,FEA,"Ciencias Exatas,Tecnologicas e da Terra"
8,FEAGRI,"Ciencias Exatas,Tecnologicas e da Terra"
89,FEC,"Ciencias Exatas,Tecnologicas e da Terra"
12,FEC,"Ciencias Exatas,Tecnologicas e da Terra"
11,FEEC,"Ciencias Exatas,Tecnologicas e da Terra"
28,FEF,Ciencias Biologicas e Profissao da saude
72,FEM,"Ciencias Exatas,Tecnologicas e da Terra"
10,FEM,"Ciencias Exatas,Tecnologicas e da Terra"
39,FEM,"Ciencias Exatas,Tecnologicas e da Terra"
59,FENF,Ciencias Biologicas e Profissao da saude
9,FEQ,"Ciencias Exatas,Tecnologicas e da Terra"
67,FOP,Ciencias Biologicas e Profissao da saude
23,FOP,Ciencias Biologicas e Profissao da saude
70,FOP,Ciencias Biologicas e Profissao da saude
71,FOP,Ciencias Biologicas e Profissao da saude
14,FOP,Ciencias Biologicas e Profissao da saude
69,FOP,Ciencias Biologicas e Profissao da saude
82,FT,"Ciencias Exatas,Tecnologicas e da Terra"
87,IA,Artes
88,IA,Artes
30,IA,Artes
73,IA,Artes
83,IB,Ciencias Biologicas e Profissao da saude
65,IB,Ciencias Biologicas e Profissao da saude
61,IB,Ciencias Biologicas e Profissao da saude
60,IB,Ciencias Biologicas e Profissao da saude
63,IB,Ciencias Biologicas e Profissao da saude
64,IB,Ciencias Biologicas e Profissao da saude
62,IB,Ciencias Biologicas e Profissao da saude
3,IC,"Ciencias Exatas,Tecnologicas e da Terra"
53,IE,Ciencias Humanas
17,IE,Ciencias Humanas
81,IEL,Ciencias Humanas
18,IEL,Ciencias Humanas
40,IEL,Ciencias Humanas
7,IEL,Ciencias Humanas
36,IFCH,Ciencias Humanas
37,IFCH,Ciencias Humanas
75,IFCH,Ciencias Humanas
24,IFCH,Ciencias Humanas
19,IFCH,Ciencias Humanas
80,IFCH,Ciencias Humanas
38,IFCH,Ciencias Humanas
4,IFGW,"Ciencias Exatas,Tecnologicas e da Terra"
54,IG,"Ciencias Exatas,Tecnologicas e da Terra"
26,IG,"Ciencias Exatas,Tecnologicas e da Terra"
79,IG,Ciencias Humanas
41,IG,Ciencias Humanas
2,IMECC,"Ciencias Exatas,Tecnologicas e da Terra"
1,IMECC,"Ciencias Exatas,Tecnologicas e da Terra"
29,IMECC,"Ciencias Exatas,Tecnologicas e da Terra"
5,IQ,"Ciencias Exatas,Tecnologicas e da Terra"
